Complaint_ID,Make,Model,Department,Complaint,Description,location
1,TATA MOTORS,Harrier,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,SHIFTED INTO REVERSE VEHICLE JERKED VIOLENTLY. RESULTING IN VEHICLE ACCIDENT.  TT,Bhopal
2,TATA MOTORS,Punch,SAFETY,SEATS,"DRIVER SIDE SEAT FRAME BROKE IN TWO, CAUSING SEAT NOT TO BE ABLE REMAIN IN AN UPRIGHT POSITION.  TT",Bhopal
3,TATA MOTORS,Safari,POWER TRAIN,POWER TRAIN,ERRATIC OPERATION OF ELECTRONIC GAS GAUGE. UPON STARTING A GALLON OF GAS POSSIBLY IS LOST.  TT,Pimpri-Chinchwad
4,TATA MOTORS,Indigo,SAFETY,AIR BAGS:FRONTAL,AIR BAG; THREE TIMES IN DEALERSHIP FOR SRS SIGNAL CONTINUOUSLY ILLUMINATING. ZONE REP ALSO CAME TO INVESTIGATE WHY LIGHT STAYS ON. PLEASE DESCRIBE DETAILS.  TT,Delhi
5,TATA MOTORS,Indica,SAFETY,SEAT BELTS,"WHEN REAR ENDED WITH FOOT ON BRAKE, DRIVERS SHOULDER BELT DIDN'T RESTRAIN FROM MAKING CONTACT, RESULTING IN AN INJURY. ESTIMATED SPEED OF IMPACT 30 MPH.  TT",Lucknow
6,TATA MOTORS,Nexon,SAFETY,SEAT BELTS,"CAR WAS IN AN ACCIDENT AND THE DRIVER SIDE AUTOMATIC SEAT BELT DIDN'T RESTRAIN, RESULTING IN AN INJURY, CONSUMER DOESN'T HAVE THIS CAR ANYMORE, HAS NEW CAR.  TT",Amritsar
7,TATA MOTORS,Tiago EV,SAFETY,AIR BAGS,"UPON IMPACT, DURING FRONTAL CRASH AT APPROX. 10 MPH, 2:00 ON FRONT BUMPER, DRIVERS/PASSENGERS AIRBAGS FAILED TO DEPLOY, RESULTING IN INJURY.   TT",Thane
8,TATA MOTORS,Indica,VEHICLE CONTROL,VEHICLE SPEED CONTROL,CRUISE CONTROL MALFUNCTIONED TWICE IN TWO MONTHS.  TT,Dhanbad
9,TATA MOTORS,Sumo,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"THROTTLE BODY STUCK IN OPEN POSITION, CAUSING VEHICLE TO ACCELERATE OUT OF CONTROL.  *AK",Vijayawada
10,TATA MOTORS,Altroz,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,REPLACED TRANSMISSION DUE TO INTERNAL FLUID LEAK IN THE LOW REVERSE CLUTCH CIRCUIT.  *AK,Navi Mumbai
11,TATA MOTORS,Sumo,SAFETY,SEATS,SEAT ADJUSTMENT BAR BROKE.  *AK,Varanasi
12,TATA MOTORS,Sumo,VEHICLE CONTROL,VEHICLE SPEED CONTROL,THROTTLE STICKS WHICH CAUSED AN ACCIDENT.  TT,Jodhpur
13,TATA MOTORS,Tigor,SAFETY,SEATS,VEHICLES DRIVER SEAT MOVES AND IS UNADJUSTABLE.  TT,Howrah
14,TATA MOTORS,Harrier,SAFETY,AIR BAGS:FRONTAL,"DURING IMPACT, DRIVER AIR BAG CAME OUT BUT DID NOT FULLY INFLATE.  TT",Coimbatore
15,TATA MOTORS,Tiago EV,VEHICLE CONTROL,VEHICLE SPEED CONTROL,WHEN DRIVING CAME TO A STOP SIGN CAR ACCELERATED AND WHEN STARTED CAR IT HESITATED CAR BEEN TO DEALER ABOUT FIVE TIMES WITH THIS PROBLEM NOT BEING FOUND.  TT,Lucknow
16,TATA MOTORS,Bolt,SAFETY,AIR BAGS:FRONTAL,CAR WAS IN AN ACCIDENT AND AIR BAG DIDN'T DEPLOY THE SPEED LIMIT WAS 30 MPH.  TT,Gwalior
17,TATA MOTORS,Tiago,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,"TRANSMISSION NOT SHIFTING OUT OF 2ND GEAR, WENT INTO LIM MODE/TRANSMMION NOT SHIFTING THEN JUMPED OUT OF GEAR. *AK",Mumbai
18,TATA MOTORS,Safari,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,THE HEAD GASKET BLOW AND ENGINE LOCKED UP NEEDS A NEW ENGINE.  TT,Vijayawada
19,TATA MOTORS,Tiago EV,STEERING & SUSPENSION,STEERING,"VEHICLE STALLS AT HIGH SPEED, RESULTING IN LOSS OF STEERING AND BRAKING ABILITY.  TT",Mysore
20,TATA MOTORS,Tigor,SAFETY,AIR BAGS:FRONTAL,DRIVER AIR BAG DID NOT DEPLOY DURING FRONTAL COLLISON.  TT,Kalyan-Dombivli
21,TATA MOTORS,Tigor,SAFETY,AIR BAGS:FRONTAL,PASSENGER AIR BAG DID NOT DEPLOY DURING FRONTAL COLLISON.  TT,Tiruchirappalli
22,TATA MOTORS,Nexon EV,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"VEHICLE SUDDENLY ACCELERATED OUT OF CONTROL, BRAKE DID NOT RESPOND, RESULTING IN ACCIDENT.  TT",Pimpri-Chinchwad
23,TATA MOTORS,Nexon,UNKNOWN OR OTHER,UNKNOWN OR OTHER,"OTHER PERSON INJURIED. FRAME SYSTEM DESIGNED TO RECIEVE A SNOW PLOW, FRAME ACTS AS A CAN OPENER UPON IMPACT. TT",Howrah
24,TATA MOTORS,Punch EV,SAFETY,EXTERIOR LIGHTING,DRIVERS LIGHTS FLICKER ON/OFF WHEN USED.  TT,Mumbai
25,TATA MOTORS,Nexon,STEERING & SUSPENSION,SUSPENSION,THE STRUT WAS BAD THERE IS A NOISE ON THE PASSENGER SIDE DOOR AND THE ENGINE LIGHT MALFUNCTION.  TT,Nashik
26,TATA MOTORS,Tiago EV,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,THE STRUT WAS BAD THERE IS A NOISE ON THE PASSENGER SIDE DOOR AND THE ENGINE LIGHT MALFUNCTION.  TT,Howrah
27,TATA MOTORS,Indigo,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,"ENGINE MOTOR MOUNTS FAILED, RESULTING IN ENGINE NOISE.  *AK",Jabalpur
28,TATA MOTORS,Sumo,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,TRANSMISSION; PURCHASED VAN BRAND NEW AND TRANSMISSION BLEW.  TT,Raipur
29,TATA MOTORS,Sumo,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,"PULLEY BROKE OFF, EVERYTHING LOCKED UP, WHEN DRIVING HARD TO TURN THE STEEERING WHEEL.  TT",Kalyan-Dombivli
30,TATA MOTORS,Nexon,SAFETY,AIR BAGS:FRONTAL,"UPON FRONTAL COLLISION, AIR BAG FAILED TO DEPLOY. VEHICLE CLASSIFIED AS TOTALED. PLEASE DESCRIBE DETAILS.  TT",Indore
31,TATA MOTORS,Tigor EV,SAFETY,AIR BAGS:FRONTAL,WAS IN AN ACCIDENT AND THE AIR BAG DIDN'T DEPLOY.  TT,Ghaziabad
32,TATA MOTORS,Tigor,VEHICLE CONTROL,TIRES:TREAD/BELT,"TIRE NOT TREADED AND CUPPED PRIOR TO 20,000 MILES.",Ghaziabad
33,TATA MOTORS,Vista,SAFETY,AIR BAGS:FRONTAL,CAR WAS IN AN ACCIDENT AND THE DRIVER SIDE AIR BAG DIDN'T DEPLOY.  TT,Rajkot
34,TATA MOTORS,Tiago EV,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,ELECTRONIC AUTO-TRANSMISSION WILL SHIFT INTO NEUTRAL/HIGH GEAR. PLEASE DISCRIBE DETAILS.  TT,Bengaluru
35,TATA MOTORS,Indigo,SAFETY,AIR BAGS:FRONTAL,"CAR WAS IN AN ACCIDENT AND THE PASSENGER'S AIR BAG DIDN'T DEPLOY, RESULTING IN AN INJURY. AK",Kota
36,TATA MOTORS,Tigor,SAFETY,AIR BAGS:FRONTAL,VEHICLE STRUCK BY ANOTHER VEHICLE TRAVELING 25MPH CAUSING DRIVER AND PASSENGER SEAT TO COLLAPSE. AIR BAG DID NOT DEPLOY.  TT,Jabalpur
37,TATA MOTORS,Harrier,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,TRANSMISSION; LOCK UP HESITATE WHEN DRIVING ON HIGHWAY.  TT,Amritsar
38,TATA MOTORS,Nexon,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,TRAVELING 45 MPH STOPPED A LIGHT PROCEED TO DESTINATION TRANSMISSION STUCK IN GEAR. THIS IS THE FOURTH INCIDENT.  TT,Hubli–Dharwad
39,TATA MOTORS,Nexon EV,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,TRANSMISSION; OVERDRIVE FAILURE PURCHASE VAN USED.  TT,Kolkata
40,TATA MOTORS,Tiago EV,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,TRANSFER GEARS ON THE TRANSMISSION NEED TO BE REPLACED.  TT,Chennai
41,TATA MOTORS,Safari,VEHICLE CONTROL,VEHICLE SPEED CONTROL,CAR WAS RUN IN PARK PUT CAR IN REVERSE IT ACCELERATED AND HIT FOUR CARS.  TT,Srinagar
42,TATA MOTORS,Sumo,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,"TRANSMISSION FAILED AFTER SHORT AMOUNT OF TIME, ONLY 45K.  TT",Vasai-Virar
43,TATA MOTORS,Harrier,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,REPLACED ENGINE HEAD GASKETS.  *AK,Jabalpur
44,TATA MOTORS,Tigor,UNKNOWN OR OTHER,UNKNOWN OR OTHER,STARCRAFT PACKAGE W/FENDER AND SIDE BOARD. OWNER CAN'T USE CHAINS. PLEASE DESCRIBE DETAILS.  TT,Vadodara
45,TATA MOTORS,Safari,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,PURCHASE CAR BRAND NEW CAR VIBRATE AND A NOISE COMING FROM THE TRANSMISSION.  TT,Madurai
46,TATA MOTORS,Tiago EV,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,AUTO TRANSSMISSION FAILURE AT 68K.  TT,Meerut
47,TATA MOTORS,Tigor,VEHICLE CONTROL,VEHICLE SPEED CONTROL,AUTO-TRAN: WHILE PULLING INTO PARKING PLACE; APPLIED BRAKES; ENGINE ACCELERATED; LURCHED FORWARD; HIT WALL OF BUILDING; NO WARNING.  TT,Mumbai
48,TATA MOTORS,Indica,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,TRANSMISSION STICKS BETWEEN GEARS WHILE DRIVING CAUSING AN ODOR INSIDE VEHICLE.  TT,Howrah
49,TATA MOTORS,Nexon,SAFETY,AIR BAGS:FRONTAL,"FRONTAL COLLISION IMPACT 12:00 SPEED 40 MPH, AIR BAG DEPLOYED INCLUDING BURNS TO THE FACE.  TT",Jabalpur
50,TATA MOTORS,Sumo,VEHICLE CONTROL,VEHICLE SPEED CONTROL,CRUISE CONTROL ACTIVATED VEHICLE SURGED AT HIGH RATE OF SPEED.  TT,Allahabad
51,TATA MOTORS,Punch EV,SAFETY,SEATS,"DRIVER AND PASSENAGER SEAT IS NOT BOLTED DOWN TO THE FLOOR SECURELY, RESULTING IN SEAT TILTING, DEALER CAN NOT LOCATE PROBLEM.  TT",Bengaluru
52,TATA MOTORS,Safari,SAFETY,AIR BAGS,DRIVER AND PASSENGER AIRBAG DID NOT DEPLOY IN FRONTAL COLLISION.  TT,Kalyan-Dombivli
53,TATA MOTORS,Sumo,SAFETY,AIR BAGS:FRONTAL,AIR BAG DID NOT DEPLOY DURING ABOVE MENTIONED ACCIDENT.  *AK,Delhi
54,TATA MOTORS,Sumo,VEHICLE CONTROL,TIRES,TIRES ARE TOO LOW. *AK,Delhi
55,TATA MOTORS,Zest,VEHICLE CONTROL,VEHICLE SPEED CONTROL,CRUISE CONTROL DISENGAGES WHILE DRIVING. THIS HAPPENS SPONTANEOUSLY.  TT,Meerut
56,TATA MOTORS,Tigor,SAFETY,SEATS,SEAT FRAME BREAKS.  TT,Varanasi
57,TATA MOTORS,Tiago EV,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,"MOTOR MOUNTS DISLOGDE, RESULTING IN SHIFTING OF THE MOTOR, REPLACE 4 TO 5 TIMES.  TT",Vijayawada
58,TATA MOTORS,Tiago EV,VEHICLE CONTROL,TIRES,"TIRE NOT TREADED AND CUPPED PRIOR TO 20,000 MILES.",Chennai
59,TATA MOTORS,Punch EV,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,PURCHASED USED AND 2 1/2 MONTH CAR HAS BEEN IN TO THE DEALER ABOUT THREE TIMES.  TT,Nagpur
60,TATA MOTORS,Safari,POWER TRAIN,"FUEL SYSTEM, GASOLINE",WHILE DRIVING VEHICLE BEGAN TO SMOKE. OWNER PULLED OVER VEHICLE ENGULFED IN FLAMES.  TT,Ranchi
61,TATA MOTORS,Indigo,VEHICLE CONTROL,VEHICLE SPEED CONTROL,STARTED VEHICLE SHIFTED INTO REVERSE SUDDENLY IT SURGED HIT TWO CARS CROSSED THE HIGHWAY HIT AN EMBANKMENT AND FLIPPED OVER.  TT,Mumbai
62,TATA MOTORS,Hexa,SAFETY,SEAT BELTS,PASSENGER SIDE AUTO SEAT BELT GET STUCK IN A HALF WAY POSITION WHEN TRYING TO USE.  TT,Amritsar
63,TATA MOTORS,Nano,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,CRACKED BLOCK WHICH LEAKED ANTI-FREEZE ON EXHAUST MANIFOLD CHOKING OCCUPANTS. TRANSMISSION CASING IS IDENTIFIED AS IMPROPER LEAKING/SPEWING FLUID.  TT,Rajkot
64,TATA MOTORS,Tiago EV,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,TRANSMISSION IS OUT.  TT,Raipur
65,TATA MOTORS,Zest,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,"ABS ANTI-LOCK BRAKE FAILS AND THE TRANSMISSION HAS BEEN REBUILT TWICE ONE AT 30,262 MILE AND THE OTHER AT 32,321 MILES STILL NOT WORKING RIGHT.  TT",Srinagar
66,TATA MOTORS,Tigor,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,"AUTO-TRANSMISSION; WHEN IN DRIVE TO PROCEED FORWARD, VEHICLE WILL COAST A FEW FEET AND NO RESPONSE TO ACCELERATOR AND SHIFTING OF GEARS. TT",Nashik
67,TATA MOTORS,Nexon,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,QUAD FOUR ENGINE REPEATED PROBLEMS WITH HEAD GASKETS CRACKING.  TT,Allahabad
68,TATA MOTORS,Nexon,SAFETY,SEATS,"BAR UNDER THE BOTTOM OF DRIVER SEAT BROKE, RESULTING IN STABILITY PROBLEM.  TT",Srinagar
69,TATA MOTORS,Tiago EV,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,TRANSMISSION VIBRATION AND NOISE WHEN YOU GET UP TO 55 MPH.  TT,Dhanbad
70,TATA MOTORS,Sumo,SAFETY,STRUCTURE:BODY,ENTIRE UNDER FRAME IS RUSTED WITH HOLES.  TT,Faridabad
71,TATA MOTORS,Nexon,SAFETY,STRUCTURE:BODY,SUNVISORS ARE TO SMALL CAUSING FAILURE TO BLOCK SUN CAUSING ACCIDENT.  TT,Vasai-Virar
72,TATA MOTORS,Safari,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,TRANSMISSION FAILED TO SHIFT INTO 3RD GEAR.  *AK,Varanasi
73,TATA MOTORS,Harrier,SAFETY,SEAT BELTS,"PASSIVE RESTRAINT WILL MOVE BACK AND FORTH, WON'T ACTIVATE OR STICK IN MOTION. IN DEALERS (12) TIMES FOR SERVICE.  TT",Nashik
74,TATA MOTORS,Bolt,POWER TRAIN,"FUEL SYSTEM, GASOLINE",SMELL OF GASOLINE COMING FROM THE A/C AND HEATER WHEN ON.  TT,Madurai
75,TATA MOTORS,Indica,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,AT APRROX. 25K TRANSMISSION HAD TO BE REBUILT.  TT,Rajkot
76,TATA MOTORS,Bolt,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"404-261-7770,WK NO., CRUISE CONTROL STUCK AND VEHICLE WENT OPEN THROTTLE POSITION LOST CONTROL HIT ENBANKMENT IMPACT 12:00 POSITION SPEED UNKNOWN.  TT",Nagpur
77,TATA MOTORS,Indica,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"VEHICLE SUDDENLY ACCELERATES OUT OF CONTROL, DEALER CAN NOT LOCATE PROBLEM.  TT",Bhopal
78,TATA MOTORS,Tiago,POWER TRAIN,"FUEL SYSTEM, GASOLINE",CAR CAUGHT FIRE.  TT,Rajkot
79,TATA MOTORS,Nexon,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,"WHEN SHIFTING TRANSMISSION INTO REVERSE, VEHICLE PULLS FORWARD.  *AK",Nashik
